biomarker_id,name,omics_layer,disease_class,conditions,assay,evidence_tier,role,preferred_normaliser,excretion_parameter_status,n_references,primary_reference,caveats
poliovirus,"Poliovirus (Sabin/wild, VP1)",genomics,communicable,Poliomyelitis,RT-qPCR / culture + sequencing,established,target,pmmov,,1,Chukwu EE et al. Surveillance of public health pathogens in Lagos wastewater canals: a cross-sectional study. BMC Public Health. 2024.,"Environmental surveillance for polio is presence/absence oriented, feeding case investigation rather than prevalence estimation."
rsv,Respiratory syncytial virus (A and B),genomics,communicable,RSV bronchiolitis / lower respiratory infection,RT-qPCR / RT-dPCR,established,target,pmmov,,2,"Boehm AB et al. Wastewater concentrations of human influenza, metapneumovirus, parainfluenza, respiratory syncytial virus, rhinovirus, and seasonal coronavirus nucleic acids during a COVID-19 pandemic. Lancet Microbe. 2023.",
salmonella_typhi,Salmonella enterica ser. Typhi (ttr/staG),genomics,communicable,Typhoid fever,qPCR,emerging,target,pmmov,,1,Chukwu EE et al. Surveillance of public health pathogens in Lagos wastewater canals: a cross-sectional study. BMC Public Health. 2024.,
sars_cov_2,SARS-CoV-2 (N gene),genomics,communicable,COVID-19,RT-qPCR / RT-dPCR,established,target,pmmov,,3,Sanchez Jimenez B et al. Protocol to longitudinally quantify SARS-CoV-2 RNA in wastewater using RT-qPCR and pepper mild mottle virus normalization. STAR Protoc. 2024.,"Shedding is heterogeneous between individuals and declines over the infection course, so concentration maps to incidence non-linearly."
sars_cov_2_del143_145,SARS-CoV-2 spike del143/145 variant marker,genomics,communicable,COVID-19 (Omicron BA.1 lineage),RT-qPCR allele-specific,established,variant_marker,pmmov,,1,Sanchez Jimenez B et al. Protocol to longitudinally quantify SARS-CoV-2 RNA in wastewater using RT-qPCR and pepper mild mottle virus normalization. STAR Protoc. 2024.,"A lineage composition marker, not a measure of overall incidence."
sars_cov_2_del69_70,SARS-CoV-2 spike del69/70 variant marker,genomics,communicable,COVID-19 (Alpha/Omicron BA.1 lineages),RT-qPCR allele-specific,established,variant_marker,pmmov,,1,Sanchez Jimenez B et al. Protocol to longitudinally quantify SARS-CoV-2 RNA in wastewater using RT-qPCR and pepper mild mottle virus normalization. STAR Protoc. 2024.,"Presence/absence of a deletion marker indicates lineage composition, not overall incidence."
sars_cov_2_s,SARS-CoV-2 S gene,genomics,communicable,COVID-19,RT-qPCR,established,target,pmmov,,1,Sanchez Jimenez B et al. Protocol to longitudinally quantify SARS-CoV-2 RNA in wastewater using RT-qPCR and pepper mild mottle virus normalization. STAR Protoc. 2024.,Used mainly for variant discrimination rather than absolute burden.
viral_capsid_peptides,Pathogen capsid/nucleoprotein peptides,proteomics,communicable,Protein-level confirmation of viral presence,Targeted LC-MS/MS (PRM/MRM),prospective,target,pmmov,,1,Pico Y et al. Mass Spectrometry in Wastewater-Based Epidemiology for the Determination of Small and Large Molecules as Biomarkers of Exposure. ACS Omega. 2021.,Far less sensitive than nucleic-acid amplification at municipal influent concentrations.
bisphenol_a,Bisphenol A,metabolomics,exposure,Endocrine-disrupting chemical exposure,LC-MS/MS,established,target,flow_population,,2,Schmiege D et al. Impact of physicochemical parameters on nicotine metabolites and Bisphenol A in municipal wastewater. Sci Total Environ. 2025.,Industrial and leachate inputs confound human excretion; an industrial-input flag is required before any exposure inference.
cotinine,Cotinine and trans-3'-hydroxycotinine,metabolomics,exposure,Tobacco / nicotine use,LC-MS/MS,established,target,flow_population,requires_local_calibration,3,Schmiege D et al. Impact of physicochemical parameters on nicotine metabolites and Bisphenol A in municipal wastewater. Sci Total Environ. 2025.,
ethyl_sulfate,Ethyl sulfate,metabolomics,exposure,Alcohol consumption,LC-MS/MS,established,target,flow_population,requires_local_calibration,2,Rousis NI et al. Socioeconomic status and public health in Australia: A wastewater-based study. Environ Int. 2022.,
hydroxypyrene_1,1-Hydroxypyrene,metabolomics,exposure,Polycyclic aromatic hydrocarbon exposure,LC-MS/MS,emerging,target,flow_population,,2,Aghaei M et al. Exposure to environmental pollutants: A mini-review on the application of wastewater-based epidemiology approach. J Environ Health Sci Eng. 2024.,
8_ohdg,8-hydroxy-2'-deoxyguanosine (8-OHdG),metabolomics,non_communicable,Oxidative DNA damage; Cancer risk (non-specific),LC-MS/MS,prospective,target,flow_population,requires_local_calibration,2,Kasprzyk-Hordern B et al. Wastewater-based epidemiology for comprehensive community health diagnostics in a national surveillance study: Mining biochemical markers in wastewater. J Hazard Mater. 2023.,No validated link between community wastewater 8-OHdG and any cancer endpoint.
antihypertensive_panel,"Antihypertensive panel (valsartan, hydrochlorothiazide, amlodipine)",metabolomics,non_communicable,Hypertension,LC-MS/MS,emerging,target,flow_population,requires_local_calibration,2,Kasprzyk-Hordern B et al. Wastewater-based epidemiology for comprehensive community health diagnostics in a national surveillance study: Mining biochemical markers in wastewater. J Hazard Mater. 2023.,"Multi-drug class: prescribing mix differs by health system, so a panel total is not comparable between countries without a local prescribing denominator."
atorvastatin_ohmetabolites,Atorvastatin and hydroxy-metabolites,metabolomics,non_communicable,Hyperlipidaemia; Cardiovascular disease risk management,LC-MS/MS,emerging,target,flow_population,requires_local_calibration,2,Kasprzyk-Hordern B et al. Wastewater-based epidemiology for comprehensive community health diagnostics in a national surveillance study: Mining biochemical markers in wastewater. J Hazard Mater. 2023.,Low and variable urinary excretion makes back-calculation to prevalence unreliable without local calibration.
capecitabine_5fu,Capecitabine / 5-fluorouracil residues,metabolomics,non_communicable,Cancer chemotherapy burden,LC-MS/MS,prospective,target,flow_population,requires_local_calibration,2,Kasprzyk-Hordern B et al. Wastewater-based epidemiology for comprehensive community health diagnostics in a national surveillance study: Mining biochemical markers in wastewater. J Hazard Mater. 2023.,"Concentrations are typically at or below detection limits in municipal influent; a hospital-effluent design is required. | Reflects treatment activity, not cancer incidence."
cortisol_cortisone,Cortisol and cortisone,metabolomics,non_communicable,Population stress load; Hypothalamic-pituitary-adrenal axis activity,LC-MS/MS,emerging,target,flow_population,requires_local_calibration,2,Kasprzyk-Hordern B et al. Wastewater-based epidemiology for comprehensive community health diagnostics in a national surveillance study: Mining biochemical markers in wastewater. J Hazard Mater. 2023.,Strong diurnal variation; 24-hour flow-proportional composite sampling is mandatory. | Cortisol/cortisone ratio is more robust than either analyte alone.
human_protein_panel,"Human urinary/faecal protein panel (e.g. albumin, calprotectin)",proteomics,non_communicable,Renal injury (albumin); Intestinal inflammation (calprotectin),LC-MS/MS bottom-up proteomics / immunoassay,prospective,target,flow_population,requires_local_calibration,2,Pico Y et al. Mass Spectrometry in Wastewater-Based Epidemiology for the Determination of Small and Large Molecules as Biomarkers of Exposure. ACS Omega. 2021.,Proteins degrade rapidly under sewer proteolysis; recovery from municipal influent is not established. | Included to define the proteomics schema. Not usable for inference without a validated recovery and stability study.
isoprostane_8_iso_pgf2a,8-iso-prostaglandin F2alpha (8-isoprostane),metabolomics,non_communicable,Systemic oxidative stress,LC-MS/MS,emerging,target,flow_population,requires_local_calibration,1,Kasprzyk-Hordern B et al. Wastewater-based epidemiology for comprehensive community health diagnostics in a national surveillance study: Mining biochemical markers in wastewater. J Hazard Mater. 2023.,"A non-specific stress marker: elevated by inflammation, smoking, air pollution and metabolic disease alike."
metformin,Metformin,metabolomics,non_communicable,Type 2 diabetes mellitus,LC-MS/MS,established,target,flow_population,literature,2,Zhou X et al. Wastewater-based estimation of diabetes mellitus prevalence in 237 cities: A cross-China study. Sci Total Environ. 2024.,"Estimates population *treated* prevalence, not total diabetes prevalence: undiagnosed and non-pharmacologically managed cases are invisible. | Metformin is also prescribed for polycystic ovary syndrome and prediabetes."
16s_rrna,Bacterial 16S rRNA gene,genomics,normaliser,total bacterial load normalisation,qPCR / dPCR,established,normaliser,,,1,Davis BC et al. Evaluating Quantitative Metagenomics for Environmental Monitoring of Antibiotic Resistance and Establishing Detection Limits. Environ Sci Technol. 2025.,
crassphage,crAssphage (CPQ_056),genomics,normaliser,faecal strength normalisation,qPCR / dPCR,established,normaliser,,,1,"Torii S et al. Comparison of five polyethylene glycol precipitation procedures for the RT-qPCR based recovery of murine hepatitis virus, bacteriophage phi6, and pepper mild mottle virus. Sci Total Environ. 2021.",
creatinine,Creatinine,metabolomics,normaliser,population size normalisation,LC-MS/MS,established,normaliser,,,2,Kasprzyk-Hordern B et al. Wastewater-based epidemiology for comprehensive community health diagnostics in a national surveillance study: Mining biochemical markers in wastewater. J Hazard Mater. 2023.,In-sewer degradation makes creatinine a weaker population marker than hydrochemical flow-based estimates.
pmmov,Pepper mild mottle virus,genomics,normaliser,faecal strength normalisation,RT-qPCR / RT-dPCR,established,normaliser,,,3,Sanchez Jimenez B et al. Protocol to longitudinally quantify SARS-CoV-2 RNA in wastewater using RT-qPCR and pepper mild mottle virus normalization. STAR Protoc. 2024.,Normalisation does not uniformly improve correlation with clinical data; benefit is site-specific (Maal-Bared 2022).
